Date,Data
2006-01-31,10.6115
2006-02-28,10.603157894736842
2006-03-31,10.689130434782609
2006-04-30,10.36578947368421
2006-05-31,10.084090909090909
2006-06-30,10.243181818181817
2006-07-31,9.9275
2006-08-31,9.712608695652174
2006-09-30,10.472
2006-10-31,11.240909090909092
2006-11-30,11.852857142857143
2006-12-31,12.253
2007-01-31,12.297500000000001
2007-02-28,13.056315789473684
2007-03-31,13.271363636363638
2007-04-30,13.4395
2007-05-31,13.47909090909091
2007-06-30,13.709047619047618
2007-07-31,14.622380952380952
2007-08-31,13.804347826086957
2007-09-30,14.263157894736842
2007-10-31,15.634347826086955
2007-11-30,15.843809523809526
2007-12-31,16.2835
2008-01-31,14.862380952380953
2008-02-29,15.3215
2008-03-31,15.605500000000001
2008-04-30,16.88818181818182
2008-05-31,16.669999999999998
2008-06-30,16.635238095238094
2008-07-31,14.476818181818182
2008-08-31,15.28
2008-09-30,15.507142857142856
2008-10-31,13.968260869565217
2008-11-30,12.272105263157895
2008-12-31,12.625454545454545
2009-01-31,12.019499999999999
2009-02-28,11.024736842105263
2009-03-31,11.010909090909092
2009-04-30,13.141904761904764
2009-05-31,13.225
2009-06-30,13.913636363636364
2009-07-31,13.11909090909091
2009-08-31,14.14809523809524
2009-09-30,14.24047619047619
2009-10-31,15.963181818181818
2009-11-30,16.0985
2009-12-31,16.150909090909092
2010-01-31,16.13736842105263
2010-02-28,15.943157894736842
2010-03-31,17.79
2010-04-30,18.951904761904764
2010-05-31,18.464
2010-06-30,17.925454545454546
2010-07-31,17.643809523809523
2010-08-31,17.980454545454545
2010-09-30,19.11952380952381
2010-10-31,20.363809523809522
2010-11-30,20.90714285714286
2010-12-31,21.94454545454545
2011-01-31,20.8715
2011-02-28,21.571052631578947
2011-03-31,20.70608695652174
2011-04-30,19.802
2011-05-31,20.97190476190476
2011-06-30,20.622272727272726
2011-07-31,22.842
2011-08-31,20.92478260869565
2011-09-30,21.717142857142857
2011-10-31,22.89952380952381
2011-11-30,23.45809523809524
2011-12-31,23.93190476190476
2012-01-31,25.074
2012-02-29,26.398000000000003
2012-03-31,27.324545454545454
2012-04-30,27.378000000000004
2012-05-31,27.21
2012-06-30,25.44952380952381
2012-07-31,23.254761904761907
2012-08-31,23.93565217391304
2012-09-30,24.383684210526315
2012-10-31,23.652380952380952
2012-11-30,23.71952380952381
2012-12-31,24.9575
2013-01-31,26.664285714285718
2013-02-28,27.20421052631579
2013-03-31,27.859500000000004
2013-04-30,30.300454545454546
2013-05-31,32.02409090909091
2013-06-30,30.9535
2013-07-31,31.562272727272727
2013-08-31,32.407272727272726
2013-09-30,34.11
2013-10-31,37.00826086956522
2013-11-30,38.9325
2013-12-31,39.05238095238095
2014-01-31,37.40571428571428
2014-02-28,37.36105263157895
2014-03-31,38.55714285714286
2014-04-30,36.52761904761905
2014-05-31,37.11047619047619
2014-06-30,37.943333333333335
2014-07-31,38.90318181818182
2014-08-31,38.99190476190476
2014-09-30,41.13761904761905
2014-10-31,44.573913043478264
2014-11-30,48.00684210526316
2014-12-31,48.374545454545455
2015-01-31,47.256
2015-02-28,46.78157894736842
2015-03-31,49.183181818181815
2015-04-30,49.98761904761905
2015-05-31,51.374
2015-06-30,52.278636363636366
2015-07-31,56.11363636363637
2015-08-31,56.305238095238096
2015-09-30,57.32952380952381
2015-10-31,64.14636363636363
2015-11-30,64.70700000000001
2015-12-31,64.65772727272727
2016-01-31,60.09736842105263
2016-02-29,59.3655
2016-03-31,61.568636363636365
2016-04-30,59.526666666666664
2016-05-31,57.37
2016-06-30,54.14409090909091
2016-07-31,56.786
2016-08-31,57.10478260869566
2016-09-30,55.42238095238095
2016-10-31,51.768571428571434
